time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,6.23052137957e-08,3.76442546454e-08,0.0042371595661,4.33942869584e-05,6.28309309053,0.0,6.85408326749e-06,3.64158452456e-06,0.141230894203,0.00213196039193,-0.00480335277496,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.12000000000000001,3.66621215629e-06,1.76528547398e-06,0.0169300546874,0.000219019158892,6.28279520627,0.0,0.000144926899513,7.03892907972e-05,0.281840645649,0.00447180356439,-0.00528949291889,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.18,2.21303736185e-05,1.18964579408e-05,0.0380579985128,0.000522212422011,6.28253512807,0.0,0.000501642320377,0.000298196771738,0.422382002405,0.00619146745172,-0.00249012668944,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.23999999999999996,6.69752309015e-05,4.28085613905e-05,0.0676244242269,0.000988829978519,6.28247843666,0.0,0.00100410013809,0.000777633961561,0.563106101335,0.0107730897804,0.00197945488602,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.3,0.00014214686851,0.000113809562666,0.1056150875,0.00174932258362,6.28265115812,0.0,0.00148577502163,0.00166517717826,0.703173034871,0.0162302125625,0.00461921294162,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.36000000000000004,0.000241794289296,0.000256090490375,0.151990705652,0.00293354016049,6.28298053865,0.0,0.0018029979864,0.00319455156813,0.842587836945,0.0259608816017,0.00717619173621,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.4200000000000001,0.000352694746809,0.000518299347984,0.206717620323,0.00468656383547,0.000237024227276,0.0,0.00184666050586,0.00572452267923,0.981532665318,0.0350413025769,0.00773466550798,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.48000000000000015,0.000456431318113,0.000972700742993,0.269761699502,0.00700325252999,0.000724358111828,0.0,0.00156003535322,0.00966032785875,1.11980977372,0.0449345527474,0.00888632649347,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.5400000000000001,0.000532116218274,0.00171599417502,0.341092425875,0.00982323926023,0.00122285346143,0.0,0.000907370818304,0.0154121640282,1.25773684421,0.0508384819832,0.00712627721965,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.6000000000000002,0.00055828845357,0.002866833263,0.420659069917,0.0129375853063,0.00155431556092,0.0,-7.57522046854e-05,0.0232786699604,1.39432408282,0.0539584517463,0.00211077417672,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.6600000000000003,0.000519514830144,0.00455762575864,0.508377230681,0.0162623578424,0.00162810063326,0.0,-0.0012272405404,0.0334306200406,1.52943833788,0.0581726058742,-0.000593380535254,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.7200000000000003,0.000410775339017,0.00693020608214,0.604170552141,0.0198125492507,0.00149856391094,0.0,-0.00238848412636,0.0460290824039,1.66347997447,0.0610924671026,-0.0054901331185,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.7800000000000004,0.00023631714765,0.0101354984559,0.707960102056,0.0235793941855,0.00120995472198,0.0,-0.00339352888607,0.0612069697153,1.79596405545,0.0659584833864,-0.00348367484967,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.8400000000000004,7.20392953419e-06,0.0143331104734,0.819660297009,0.0274848944393,0.00119130202755,0.0,-0.00423188434435,0.0791273743016,1.92715257974,0.0633000137198,0.00538041827776,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.9000000000000005,-0.000273761172555,0.0196888091911,0.939201281433,0.0311500077405,0.00157808400758,0.0,-0.00517120458311,0.0997870902219,2.0573090942,0.0562427093223,0.00849737577433,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
0.9600000000000005,-0.00062005861389,0.0263602679134,1.06651156454,0.03447484108,0.00208743543253,0.0,-0.00642581480869,0.12294303796,2.1861164319,0.0537031834617,0.00847281442806,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
1.0200000000000005,-0.00105243474877,0.0344898799181,1.2014882,0.0375807241793,0.00254956546607,0.0,-0.00803766638644,0.148370501301,2.31284288868,0.0475764844575,0.00611448600352,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
1.0800000000000005,-0.00159075143574,0.0442084105699,1.34401672303,0.0403310078931,0.00286101164953,0.0,-0.00994148157134,0.175866579319,2.43783564648,0.0421136767639,0.00327611094573,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
1.1400000000000006,-0.00224914912122,0.0556320445965,1.4939887762,0.0428103775203,0.00301492204193,0.0,-0.0120228526229,0.205173451843,2.56095111325,0.0396927300199,0.00110387332742,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
1.2000000000000006,-0.00303500303668,0.0688632691231,1.65127528332,0.0450927381255,0.00305535576015,0.0,-0.0141770586012,0.236099688534,2.68164277234,0.0345095379146,-0.000200311108136,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
1.2600000000000007,-0.0039506662991,0.083995686154,1.81576522542,0.047174587628,0.00314618434517,0.0,-0.0163485166781,0.268517712749,2.80105611126,0.0350706945876,0.00473900992254,0.0,466.16637631373,465.73190669923093,464.25565171842334,464.39179470369226
